dataset,program,size,gamma,c,performance
Climate_Pilot,class,664,1e-07,10.0,0.7828488454749621
Climate_Pilot,class,664,1e-06,10.0,0.7876273741899243
Climate_Pilot,class,664,1e-05,10.0,0.7874868519200035
Climate_Pilot,class,664,0.0001,10.0,0.7998686258263944
Climate_Pilot,class,664,0.001,10.0,0.7476581739389805
Climate_Pilot,class,664,0.01,10.0,0.4011640060927468
Climate_Pilot,class,664,0.1,10.0,0.11996854407823672
Climate_Pilot,class,664,3.057636447026449e-05,100.0,0.7615453678763213
Climate_Pilot,class,664,1e-07,100.0,0.7876273741899243
Climate_Pilot,class,664,1e-06,100.0,0.7863709111427296
Climate_Pilot,class,664,1e-05,100.0,0.7937149648727311
Climate_Pilot,class,664,0.0001,100.0,0.7353886135375445
Climate_Pilot,class,664,0.001,100.0,0.7508747847307395
Climate_Pilot,class,664,0.01,100.0,0.4011640060927468
Climate_Pilot,class,664,0.1,100.0,0.11996854407823672
Climate_Pilot,class,664,3.057636447026449e-05,1000.0,0.7410266493333153
Climate_Pilot,class,664,1e-07,1000.0,0.7867222026892847
Climate_Pilot,class,664,1e-06,1000.0,0.7936197089682686
Climate_Pilot,class,664,1e-05,1000.0,0.7329060402009633
Climate_Pilot,class,664,0.0001,1000.0,0.7440796962701041
Climate_Pilot,class,664,0.001,1000.0,0.7508747847307395
Climate_Pilot,class,664,0.01,1000.0,0.4011640060927468
Climate_Pilot,class,664,0.1,1000.0,0.11996854407823672
Coal,class,1235,2.5584608299646932e-05,0.001,0.5466974208481604
Coal,class,1235,1e-07,0.001,0.5435711675002212
Coal,class,1235,1e-06,0.001,0.5480141913664875
Coal,class,1235,1e-05,0.001,0.5423763506056811
Coal,class,1235,0.0001,0.001,0.5733320669542639
Coal,class,1235,0.001,0.001,0.593047067925945
Coal,class,1235,0.01,0.001,0.45581918960098655
Coal,class,1235,0.1,0.001,0.11435449392379637
